metric	value
linked_functions	2
body_bytes	898
body_concat_sha256	23d47d710882ff10a69e14e9e27b450fbe04ad838295a3c07965934c8f6509e0
physical_interval	[0x005A5984,0x005A5D94)
physical_bytes	1040
physical_sha256	d6b869880ca7b842b74efd388baeee07790680c4bc40a20ea0a08bc8cdf7659d
owned_noncode_bytes	142
owned_noncode_sha256	9a346273272f4bc2feadfb900fead304af2b893fd18a5ca908d408894e18025f
direct_bl_entry_sites	2 internal helper calls
direct_bl_entry_digest	d45c3711b074c96a3eba2b7bf96bd201065e4f474fbf9b1d8a4a8faffc72ff72
direct_body_call_sites	70
direct_body_call_digest	49e9f0c065e07398a650e37cbc9b3454f0246295529862be78becefb9a7c0082
stored_entry_pointers	1 at 0x006C93A8 -> 0x005A5999
stored_pointer_digest	7121a5a81800fa3872e00154a9047a8dc703dbc3d4fcc518bb0802a309e66d60
stored_strict_interior_pointers	0
raw_interior_byte_windows	0
direct_b_w_entry_or_interior_targets	0
command_record	[0x006C93A0,0x006C93B0) = {type 0, "AT^TP", handler 0x005A5999, zero}
command_record_sha256	360a914f44bdf3fb36b973af5800eb5de14c14735528b41f8f409983d2112be9
retained_path	D:\01_workspace\s200_ap510b_iar_git\platform\service\eAT\at_tp.c
retained_path_pointer_cell	0x005A5D20
subcommands	1, 0, debug1, debug0, bsln_read, bsln_set, gesture_cfg_read, gesture_cfg_set
debug_flag	0x20075017
gesture_threshold_range_ms	1..65535
production_routed	false
ownership_bytes	0
source_inventory	unavailable; linked-object census complete but source-only function count unknown
