metric	value
retained_path	platform\ble\app_ble_discovery.c
linked_functions	2
body_bytes	2962
body_concat_sha256	54039f075136827454eaf7b2eb260970352eb56a76432c66e5d22fc0a26371d2
physical_interval	[0x005354C2,0x0053634E)
physical_bytes	3724
physical_sha256	b7ade1a9e7168f218fc89bfaa8882cfb66519f202570bd95b1c3e1a33111d6be
literal_pool_1_interval	[0x00535598,0x005355E0)
literal_pool_1_bytes	72
literal_pool_1_sha256	442ebfc49ef794f2069e0580add105bd5abc924276171f0a0b99a67a4d1a4e45
literal_pool_2_interval	[0x0053609C,0x0053634E)
literal_pool_2_bytes	690
literal_pool_2_sha256	9e0636ffd3a01ea31a7e447f4936cf13fbaca29e8b332405b0f67ca5d099bd91
path_run_address	0x006F7FC4
path_pointer_cells	0x005355CC,0x005360A8
direct_bl_entry_sites	0
direct_bl_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_body_calls	179
direct_body_call_digest	b7bee0e3616a0cf73a3ed4dcdc45edae377291ab7b3f6be96d5be5b77f291616
stored_entry_pointers	3
stored_entry_pointer_digest	6c84b02361a59c714618cb7adbddbc9e4ab5c72cce37a1a157a81e2a8b1dfdc1
strict_interior_ingress	0
third_party_dependency	none; G2-local Cordio discovery policy adapter
historical_source_available	false
source_candidate	components/apollo_main/core_overlay/app_ble_discovery.c
source_bytes	13592
source_sha256	6ea54444af63e40f19c1b0345d70dca22b37034f2efdb83c4954bc0f368f2569
header	components/apollo_main/core_overlay/app_ble_discovery.h
header_bytes	778
header_sha256	e3d76c53e8c5bbbf523f5675602dda8c60463fca63414f4ae4700fcd3b3dda93
production_profiles	apple-clang,linux-clang
compiled_text_bytes_apple_clang	516
compiled_text_bytes_linux_clang	516
alignment_bytes_apple_clang	0
alignment_bytes_linux_clang	0
strict_relocations	23
stock_body_bytes_displaced	2962
retained_stock_noncode_bytes	762
production_routed	true
ownership_bytes	2962
source_inventory	clean-room two-function source plus public header
software_functional_gap	false
hardware_validation	blocked by unavailable physical evidence
hardware_evidence_required	authorized paired phone and ring traces proving role-aware database-hash, GATT, Ring, optional ANCS, configuration, failure, and completion sequencing; authorized disconnect/reconnect trace proving discovery attempt state is reset without stale handles
hardware_operations	none
